"postal_code","geographic_unit_name","geographic_unit_fips","results","county_fips"
"KY","Montgomery","21173",10248,"21173"
"KY","Morgan","21175",4472,"21175"
"KY","Muhlenberg","21177",12739,"21177"
"KY","Nelson","21179",18533,"21179"
"KY","Nicholas","21181",2581,"21181"
"KY","Ohio","21183",9646,"21183"
"KY","Oldham","21185",29884,"21185"
"KY","Owen","21187",4557,"21187"
"KY","Owsley","21189",1580,"21189"
"KY","Pendleton","21191",5534,"21191"
"KY","Perry","21193",10241,"21193"
"KY","Pike","21195",23636,"21195"
"KY","Powell","21197",4481,"21197"
"KY","Pulaski","21199",26003,"21199"
"KY","Robertson","21201",935,"21201"
"KY","Rockcastle","21203",6216,"21203"
"KY","Rowan","21205",7665,"21205"
"KY","Russell","21207",7909,"21207"
"KY","Scott","21209",20573,"21209"
"KY","Shelby","21211",18663,"21211"
"KY","Simpson","21213",7093,"21213"
"KY","Spencer","21215",8431,"21215"
"KY","Taylor","21217",10950,"21217"
"KY","Todd","21219",4718,"21219"
"KY","Trigg","21221",6742,"21221"
"KY","Trimble","21223",3543,"21223"
"KY","Union","21225",5979,"21225"
"KY","Warren","21227",43903,"21227"
"KY","Washington","21229",5219,"21229"
"KY","Wayne","21231",7210,"21231"
"KY","Webster","21233",5470,"21233"
"KY","Whitley","21235",13072,"21235"
"KY","Wolfe","21237",2559,"21237"
"KY","Woodford","21239",12332,"21239"
"MO","Adair","29001",10126,"29001"
"MO","Andrew","29003",8306,"29003"
"MO","Atchison","29005",2709,"29005"
"MO","Audrain","29007",9952,"29007"
"MO","Barry","29009",13806,"29009"
"MO","Barton","29011",5746,"29011"
"MO","Bates","29013",7771,"29013"
"MO","Benton","29015",9157,"29015"
"MO","Bollinger","29017",5456,"29017"
"MO","Boone","29019",79422,"29019"
"MO","Buchanan","29021",35106,"29021"
"MO","Butler","29023",16889,"29023"
"MO","Caldwell","29025",4167,"29025"
"MO","Callaway","29027",18232,"29027"
"MO","Camden","29029",21945,"29029"
"MO","Cape Girardeau","29031",35716,"29031"
"MO","Carroll","29033",4304,"29033"
"MO","Carter","29035",2799,"29035"
"MO","Cass","29037",48913,"29037"
"MO","Cedar","29039",6045,"29039"
"MO","Chariton","29041",3821,"29041"
"MO","Christian","29043",37964,"29043"
"MO","Clark","29045",3225,"29045"
"MO","Clay","29047",105589,"29047"
"MO","Clinton","29049",9861,"29049"
"MO","Cole","29051",37062,"29051"
"MO","Cooper","29053",7511,"29053"
"MO","Crawford","29055",9579,"29055"
"MO","Dade","29057",3896,"29057"
"MO","Dallas","29059",7279,"29059"
"MO","Daviess","29061",3521,"29061"
"MO","DeKalb","29063",4350,"29063"
"MO","Dent","29065",6643,"29065"
"MO","Douglas","29067",6557,"29067"
"MO","Dunklin","29069",10651,"29069"
"MO","Franklin","29071",46755,"29071"
"MO","Gasconade","29073",7134,"29073"
"MO","Gentry","29075",2999,"29075"
"MO","Greene","29077",125848,"29077"
"MO","Grundy","29079",4374,"29079"
"MO","Harrison","29081",3695,"29081"
"MO","Henry","29083",10123,"29083"
"MO","Hickory","29085",4680,"29085"
"MO","Holt","29087",2310,"29087"
"MO","Howard","29089",4867,"29089"
"MO","Howell","29091",16346,"29091"
"MO","Iron","29093",4031,"29093"
"MO","Jackson","29095",174764,"29095"
"MO","Jasper","29097",45218,"29097"
"MO","Jefferson","29099",97611,"29099"
"MO","Johnson","29101",21021,"29101"
"MO","Knox","29103",1957,"29103"
"MO","Laclede","29105",15362,"29105"
"MO","Lafayette","29107",15795,"29107"
"MO","Lawrence","29109",15755,"29109"
"MO","Lewis","29111",4279,"29111"
"MO","Lincoln","29113",22652,"29113"
"MO","Linn","29115",5550,"29115"
"MO","Livingston","29117",6054,"29117"
"MO","McDonald","29119",7817,"29119"
"MO","Macon","29121",7160,"29121"
"MO","Madison","29123",4930,"29123"
"MO","Maries","29125",4538,"29125"
"MO","Marion","29127",12158,"29127"
"MO","Mercer","29129",1655,"29129"
"MO","Miller","29131",11019,"29131"
"MO","Mississippi","29133",4920,"29133"
"MO","Moniteau","29135",6443,"29135"
"MO","Monroe","29137",4057,"29137"
"MO","Montgomery","29139",5327,"29139"
"MO","Morgan","29141",8688,"29141"
"MO","New Madrid","29143",7250,"29143"
"MO","Newton","29145",25083,"29145"
"MO","Nodaway","29147",8976,"29147"
"MO","Oregon","29149",4421,"29149"
"MO","Osage","29151",6919,"29151"
"MO","Ozark","29153",4453,"29153"
"MO","Pemiscot","29155",6335,"29155"
"MO","Perry","29157",7987,"29157"
"MO","Pettis","29159",17175,"29159"
"MO","Phelps","29161",18190,"29161"
"MO","Pike","29163",7321,"29163"
"MO","Platte","29165",45552,"29165"
"MO","Polk","29167",13119,"29167"
"MO","Pulaski","29169",13571,"29169"
"MO","Putnam","29171",2309,"29171"
"MO","Ralls","29173",5036,"29173"
"MO","Randolph","29175",9944,"29175"
"MO","Ray","29177",10367,"29177"
"MO","Reynolds","29179",3202,"29179"
"MO","Ripley","29181",5263,"29181"
"MO","St. Charles","29183",185690,"29183"
"MO","St. Clair","29185",4626,"29185"
"MO","Ste. Genevieve","29186",8070,"29186"
"MO","St. Francois","29187",22582,"29187"
"MO","St. Louis County","29189",528676,"29189"
"MO","Saline","29195",9108,"29195"
"MO","Schuyler","29197",1939,"29197"
"MO","Scotland","29199",1936,"29199"
"MO","Scott","29201",16999,"29201"
"MO","Shannon","29203",3692,"29203"
"MO","Shelby","29205",3232,"29205"
"MO","Stoddard","29207",12866,"29207"
"MO","Stone","29209",15984,"29209"
"MO","Sullivan","29211",2595,"29211"
"MO","Taney","29213",21659,"29213"
"MO","Texas","29215",10764,"29215"
"MO","Vernon","29217",8521,"29217"
"MO","Warren","29219",14676,"29219"
"MO","Washington","29221",8695,"29221"
"MO","Wayne","29223",5720,"29223"
"MO","Webster","29225",15429,"29225"
"MO","Worth","29227",1048,"29227"
"MO","Wright","29229",7955,"29229"
"MO","St. Louis City","29510",143607,"29510"
"MO","Kansas City","36000",136802,"36000"
"TX","Anderson","48001",16212,"48001"
"TX","Andrews","48003",4482,"48003"
"TX","Angelina","48005",28406,"48005"
"TX","Aransas","48007",9648,"48007"
"TX","Archer","48009",4164,"48009"
"TX","Armstrong","48011",935,"48011"
"TX","Atascosa","48013",12721,"48013"
"TX","Austin","48015",11649,"48015"
"TX","Bailey","48017",1816,"48017"
"TX","Bandera","48019",9448,"48019"
"TX","Bastrop","48021",24481,"48021"
"TX","Baylor","48023",1592,"48023"
"TX","Bee","48025",7879,"48025"
"TX","Bell","48027",86206,"48027"
"TX","Bexar","48029",513681,"48029"
"TX","Blanco","48031",4973,"48031"
"TX","Borden","48033",363,"48033"
"TX","Bosque","48035",7356,"48035"
"TX","Bowie","48037",35404,"48037"
"TX","Brazoria","48039",106739,"48039"
"TX","Brazos","48041",55962,"48041"
"TX","Brewster","48043",3867,"48043"
"TX","Briscoe","48045",702,"48045"
"TX","Brooks","48047",2403,"48047"
"TX","Brown","48049",13947,"48049"
"TX","Burleson","48051",6456,"48051"
"TX","Burnet","48053",16796,"48053"
"TX","Caldwell","48055",11068,"48055"
"TX","Calhoun","48057",6648,"48057"
"TX","Callahan","48059",5197,"48059"
"TX","Cameron","48061",76895,"48061"
"TX","Camp","48063",4335,"48063"
"TX","Carson","48065",2778,"48065"
"TX","Cass","48067",11788,"48067"
"TX","Castro","48069",2119,"48069"
"TX","Chambers","48071",14735,"48071"
"TX","Cherokee","48073",16126,"48073"
"TX","Childress","48075",1996,"48075"
"TX","Clay","48077",5057,"48077"
"TX","Cochran","48079",917,"48079"
"TX","Coke","48081",1408,"48081"
"TX","Coleman","48083",3492,"48083"
"TX","Collin","48085",302821,"48085"
"TX","Collingsworth","48087",1150,"48087"
"TX","Colorado","48089",8117,"48089"
"TX","Comal","48091",51529,"48091"
"TX","Comanche","48093",4906,"48093"
"TX","Concho","48095",1001,"48095"
"TX","Cooke","48097",14351,"48097"
"TX","Coryell","48099",16604,"48099"
"TX","Cottle","48101",741,"48101"
"TX","Crane","48103",1283,"48103"
"TX","Crockett","48105",1457,"48105"
"TX","Crosby","48107",1787,"48107"
"TX","Culberson","48109",879,"48109"
"TX","Dallam","48111",1534,"48111"
"TX","Dallas","48113",710117,"48113"
"TX","Dawson","48115",3642,"48115"
"TX","Deaf Smith","48117",4309,"48117"
"TX","Delta","48119",2018,"48119"
"TX","Denton","48121",242781,"48121"
"TX","Dewitt","48123",6638,"48123"
"TX","Dickens","48125",1019,"48125"
"TX","Dimmit","48127",2917,"48127"
"TX","Donley","48129",1535,"48129"
"TX","Duval","48131",4344,"48131"
"TX","Eastland","48133",6495,"48133"
"TX","Ector","48135",32513,"48135"
"TX","Edwards","48137",884,"48137"
"TX","Ellis","48139",54151,"48139"
"TX","El Paso","48141",172412,"48141"
"TX","Erath","48143",12473,"48143"
"TX","Falls","48145",5434,"48145"
"TX","Fannin","48147",10804,"48147"
"TX","Fayette","48149",10551,"48149"
"TX","Fisher","48151",1629,"48151"
"TX","Floyd","48153",2085,"48153"
"TX","Foard","48155",495,"48155"
"TX","Fort Bend","48157",219489,"48157"
"TX","Franklin","48159",4257,"48159"
"TX","Freestone","48161",7570,"48161"
"TX","Frio","48163",3968,"48163"
"TX","Gaines","48165",4066,"48165"
"TX","Galveston","48167",110078,"48167"
"TX","Garza","48169",1560,"48169"
"TX","Gillespie","48171",12550,"48171"
"TX","Glasscock","48173",578,"48173"
"TX","Goliad","48175",3458,"48175"
"TX","Gonzales","48177",6057,"48177"
"TX","Gray","48179",7389,"48179"
"TX","Grayson","48181",42264,"48181"
"TX","Gregg","48183",41507,"48183"
"TX","Grimes","48185",8601,"48185"
"TX","Guadalupe","48187",49514,"48187"
"TX","Hale","48189",8854,"48189"
"TX","Hall","48191",1109,"48191"
"TX","Hamilton","48193",3552,"48193"
"TX","Hansford","48195",1962,"48195"
"TX","Hardeman","48197",1495,"48197"
"TX","Hardin","48199",21297,"48199"
"TX","Harris","48201",1188585,"48201"
"TX","Harrison","48203",26170,"48203"
"TX","Hartley","48205",1913,"48205"
